normalization_id,original_grounded_statement_id,canonical_statement_id,normalization_type,before_value,after_value,created_at
NORM-000001,GSTMT-000001,CGS-000001,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000002,GSTMT-000002,CGS-000001,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000003,GSTMT-000006,CGS-000005,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000004,GSTMT-000007,CGS-000005,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000005,GSTMT-000008,CGS-000005,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000006,GSTMT-000009,CGS-000005,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000007,GSTMT-000010,CGS-000006,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000008,GSTMT-000010,CGS-000006,unicode_or_ocr_replacement,“,"""",2026-06-25 12:55:09
NORM-000009,GSTMT-000010,CGS-000006,unicode_or_ocr_replacement,”,"""",2026-06-25 12:55:09
NORM-000010,GSTMT-000011,CGS-000006,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000011,GSTMT-000011,CGS-000006,unicode_or_ocr_replacement,“,"""",2026-06-25 12:55:09
NORM-000012,GSTMT-000011,CGS-000006,unicode_or_ocr_replacement,”,"""",2026-06-25 12:55:09
NORM-000013,GSTMT-000014,CGS-000008,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000014,GSTMT-000015,CGS-000008,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000015,GSTMT-000027,CGS-000017,punctuation_normalization,"(a) By completing items 8 and 15, and returning _____ copies of the amendment;","(a) By completing items 8 and 15, and returning ___ copies of the amendment;",2026-06-25 12:55:09
NORM-000016,GSTMT-000046,CGS-000030,unicode_or_ocr_replacement,’,',2026-06-25 12:55:09
NORM-000017,GSTMT-000070,CGS-000049,unicode_or_ocr_replacement,“,"""",2026-06-25 12:55:09
NORM-000018,GSTMT-000070,CGS-000049,unicode_or_ocr_replacement,”,"""",2026-06-25 12:55:09
NORM-000019,GSTMT-000071,CGS-000049,unicode_or_ocr_replacement,“,"""",2026-06-25 12:55:09
NORM-000020,GSTMT-000071,CGS-000049,unicode_or_ocr_replacement,”,"""",2026-06-25 12:55:09
NORM-000021,GSTMT-000086,CGS-000056,punctuation_normalization,______________ Your Quote Reference #______________ Email:,___ Your Quote Reference #___ Email:,2026-06-25 12:55:09
NORM-000022,GSTMT-000087,CGS-000057,punctuation_normalization,stephen.p.smith161.civ@us.navy.mil Quotation Valid For _________Days Also send quotes to:,stephen.p.smith161.civ@us.navy.mil Quotation Valid For ___Days Also send quotes to:,2026-06-25 12:55:09
