issue_type,contract_number,supplier,value
zero_value,CW2353429,Cox S Bazar Trading,0.0
zero_value,CW2358219,Ctl Leather,0.0
zero_value,CW2305637,Flex Knit,0.0
zero_value,CW2417923,Flex Knit,0.0
zero_value,CW2333346,Hkk International,0.0
zero_value,CW2440754,Ador Tech,0.0
zero_value,CW2328581,Special Electronics,0.0
zero_value,CW2335364,Signaux Evan Signals,0.0
zero_value,CW2383298,Linde,0.0
zero_value,CW2383375,Air Liquide,0.0
zero_value,CW2347242,Messer,0.0
zero_value,CW2347440,Linde,0.0
zero_value,CW2347448,Air Liquide,0.0
zero_value,CW2379562,Air Liquide,0.0
zero_value,CW2397091,Linde,0.0
zero_value,CW2397152,Air Liquide,0.0
zero_value,CW2329896,Compass Minerals,0.0
zero_value,CW2431926,Compass Minerals,0.0
zero_value,CW2431951,Sel Warwick,0.0
zero_value,CW2432436,Jr2,0.0
zero_value,CW2337577,Novamen,0.0
zero_value,CW2452246,Messer,0.0
zero_value,CW2409962,Clermark,0.0
zero_value,CW2433568,Custom Foam Systems,0.0
zero_value,CW2356449,Dcm,0.0
zero_value,CW2400059,12363623,0.0
zero_value,CW2370782,Spicers,0.0
zero_value,CW2407829,Ariva,0.0
zero_value,CW2352998,Flight Fuels Partnership,0.0
zero_value,CW2406815,Mutual Propane,0.0
zero_value,CW2407032,Mutual Propane,0.0
zero_value,CW2401848,Superior Propane A Division Of Superior Plus,0.0
zero_value,CW2441650,Capital Propane,0.0
zero_value,CW2426044,Superior Plus,0.0
zero_value,CW2375985,Distribution Fascor Fascor Distribution,0.0
zero_value,CW2375988,Du So Pi Ces D Auto,0.0
zero_value,CW2415295,Paquet And Fils Lt E,0.0
zero_value,CW2412225,Felix Technology,0.0
zero_value,CW2445066,Distribution Fascor Fascor Distribution,0.0
zero_value,CW2446723,Aerofusion Dynamics,0.0
zero_value,CW2339870,D Fense Simex,0.0
zero_value,CW2339877,Chieftain Energy,0.0
zero_value,CW2335663,Hf Sinclair,0.0
zero_value,CW2372750,Distribution Fascor Fascor Distribution,0.0
zero_value,CW2407615,Voyageur Services,0.0
zero_value,CW2408599,Toromont Industries Industries Toromont,0.0
zero_value,CW2402315,Ren Blais Lt E,0.0
zero_value,CW2386161,Infinity Equipment Rentals,0.0
zero_value,CW2433648,Drain Man,0.0
zero_value,CW2441962,Equipement St Germain,0.0
zero_value,CW2421937,Groupe Lou Tec Lou Tec Group,0.0
zero_value,CW2420046,Elvaan Equipment Solution,0.0
zero_value,CW2423691,Pritchard Power Systems,0.0
zero_value,CW2427266,Fst,0.0
zero_value,CW2427572,Karcher Municipal,0.0
zero_value,CW2366772,True North Power Tech,0.0
zero_value,CW2366439,Battlefield Equipment Rentals A Division Of Toromont Industries,0.0
zero_value,CW2366224,United Rentals Of,0.0
zero_value,CW2368011,1207931 Ontario,0.0
zero_value,CW2368079,Hertz Equipment Rentals,0.0
zero_value,CW2320917,United Rentals Of,0.0
zero_value,CW2320921,Battlefield Equipment Rentals,0.0
zero_value,CW2360016,Finning,0.0
zero_value,CW2342242,Paul Mc Donald Trucking,0.0
zero_value,CW2342258,Yates Trucking And Excavation,0.0
zero_value,CW2342263,1B Developments,0.0
zero_value,CW2414031,Jcb,0.0
zero_value,CW2403285,Brandt Tractor,0.0
zero_value,CW2381711,Finning,0.0
zero_value,CW2327985,Finning,0.0
zero_value,CW2348502,Prime Material Handling Equipment,0.0
zero_value,CW2423613,Ocean Contractors,0.0
zero_value,CW2420269,Dexter Construction,0.0
zero_value,CW2420273,Basin Contracting,0.0
zero_value,CW2449762,T J Nolan Construction,0.0
zero_value,CW2405986,Valley Blades,0.0
zero_value,CW2411994,Target Fabrication,0.0
zero_value,CW2417160,Jcb,0.0
zero_value,CW2379569,Brandt Tractor,0.0
zero_value,CW2379615,Toromont Industries Industries Toromont,0.0
zero_value,CW2428087,Air Unlimited,0.0
zero_value,CW2347409,Rampart International,0.0
zero_value,CW2332492,Newdon Industries,0.0
zero_value,CW2401842,Plascon Films,0.0
zero_value,CW2373872,Nissan,0.0
zero_value,CW2373891,Volkswagen Ag,0.0
zero_value,CW2329339,Hyundai Auto,0.0
zero_value,CW2329344,Mercedes Benz,0.0
zero_value,CW2329360,Volkswagen Ag,0.0
zero_value,CW2358762,Delta Power Equipment,0.0
zero_value,CW2447408,Lange And Fetter Motors,0.0
zero_value,CW2423328,Asc International F Z C,0.0
zero_value,CW2388593,Location De Motoneiges Haute Matawinie,0.0
zero_value,CW2403387,Nake Sela,0.0
zero_value,CW2417539,Spr Equipment,0.0
zero_value,CW2372582,Podolinsky Equipment,0.0
zero_value,E60MC-190001/014/MC,Conception Navale Fmp,0.0
zero_value,CW2402151,Voltari Marine Electric,0.0
zero_value,CW2399925,Industries Oc An,0.0
zero_value,CW2430801,Osm Atlantic,0.0
zero_value,CW2430805,Qu Bec Soudure,0.0
zero_value,CW2416639,Cme,0.0
zero_value,CW2408807,Urgence Marine,0.0
zero_value,CW2422293,Clean Harbors Energy And Industrial,0.0
zero_value,CW2397256,Avs Group,0.0
zero_value,CW2397396,Acadian Dredging,0.0
zero_value,CW2397492,Eco Technologies,0.0
zero_value,CW2397495,West End Dredging,0.0
zero_value,CW2352745,Chantier Blyacht,0.0
zero_value,CW2325344,East River Shipyard,0.0
zero_value,CW2440959,Cores Worldwide,0.0
zero_value,CW2354090,Patlon Aircraft And Industries,0.0
zero_value,CW2431130,Incite Experiential Design O A Rmus,0.0
zero_value,CW2426378,Mda Systems,0.0
zero_value,CW2406879,Du So Pi Ces D Auto,0.0
zero_value,CW2406893,Du So Pi Ces D Auto,0.0
zero_value,CW2325539,Quinte Hydraulic Service,0.0
zero_value,CW2450392,Flaman Sales,0.0
zero_value,CW2395356,Tractorland,0.0
zero_value,CW2353571,Kaldeck Truck And Trailer,0.0
zero_value,CW2370112,Quapp Equipment,0.0
zero_value,CW2437289,Marindustriel,0.0
zero_value,CW2424680,Marindustriel,0.0
zero_value,CW2330296,Toromont Cat Qu Bec,0.0
zero_value,CW2352309,D Fense Simex,0.0
zero_value,CW2332052,Cantec Representatives,0.0
zero_value,CW2368496,Western Equipment,0.0
zero_value,CW2368494,Wesco Distribution,0.0
zero_value,CW2368486,Source Atlantic,0.0
zero_value,CW2368490,Tenaquip Tenaquip,0.0
zero_value,CW2368484,Snap On Tools Of,0.0
zero_value,CW2368482,Rideout Tool And Machine,0.0
zero_value,CW2368480,Preston Hardware,0.0
zero_value,CW2368470,Fastenal Fastenal Lt E,0.0
zero_value,CW2368473,Hazmasters,0.0
zero_value,CW2368478,Mill Supply,0.0
zero_value,CW2368475,Hercules Slr,0.0
zero_value,CW2347590,G C Duke Equipment,0.0
zero_value,CW2368468,Acklands Grainger,0.0
zero_value,CW2442253,Canac Marquis Grenier,0.0
zero_value,CW2338040,Lefebvre And Benoit,0.0
zero_value,CW2338044,Materiaux Bomat,0.0
zero_value,CW2323124,Lefebvre And Benoit,0.0
zero_value,CW2323128,Materiaux Bomat,0.0
zero_value,CW2372519,5026747 Ontario,0.0
zero_value,CW2447091,John Eek And Son,0.0
zero_value,CW2419164,Windsor Salt,0.0
zero_value,CW2371336,Modern Niagara Ottawa,0.0
zero_value,CW2451049,Carri Res Qu Bec,0.0
zero_value,CW2354179,Premier Builder Group,0.0
zero_value,CW2353686,Comox Consolidators,0.0
zero_value,CW2353689,Groupe Morin Construction,0.0
zero_value,CW2353212,Woodward Construction,0.0
zero_value,CW2353215,Silverlady Construction,0.0
zero_value,CW2319017,G E Sallows,0.0
zero_value,CW2340070,Pivotech Doors,0.0
zero_value,CW2417413,Schooner Excavation,0.0
zero_value,CW2417418,T J Nolan Construction,0.0
zero_value,CW2405247,Wolseley,0.0
zero_value,CW2405273,Deschenes,0.0
zero_value,CW2299173,854912 Alberta,0.0
